adb
aircrack-ng
ansible
arc-icon
aspell
aspell-en
at
atom
autoconf
autojump
automake
bash-completion
bat
bc
binutils
bison
bleachbit
base-devel
ca-certificates
ca-certificates-java
cifs-utils
clamav
cmake
code
compton
coreutils
cpio
fzf
cron
cups
curl
dbeaver-ce
dcfldd
dialog
dkms
dnsutils
docker
docker-compose
dolphin
dolphin-plugins
dolphin-meld
dos2unix
dropbox
e2fsprogs
ethtool
ffmpeg
file
findutils
firefox-esr
flashplugin
fuse
gcc
gedit
gimp
git
gitk
gnome-keyring
gnupg
go-md2man
go
google-chrome-stable
google-cloud-sdk
gparted
gzip
hddtemp
hdparm
htop
httpie
hunspell-en_GB
hunspell-en_US
hunspell-hr
jq
kate
kio
kio-extras
kismet
kolourpaint
kubectl
kwrite
libaio
libao
libreoffice
lsof
lynx
make
maven
meld
mlocate
most
mtr
mutt
mysql-client
mysql-workbench
nano
net-tools
openbsd-netcat
nethogs
networkmanager-openvpn
networkmanager-vpnc
nfs-utils
nmap
nodejs
ntfs-3g
openconnect
openjdk-8-jre:amd64
openjdk-8-jre-headless:amd64
openssl
openvpn
oracle-instantclient12.1-basic
oracle-instantclient12.1-devel
oracle-instantclient12.1-odbc
oracle-instantclient12.1-sqlplus
p7zip
pandoc
perl-perl-tidy
plasma-desktop
polkit
polkit-kde-agent
poppler
poppler-data
pv
python-paramiko
remmina
rsync
rsyslog
screen
shc
shellcheck
skypeforlinux
slack-desktop
sqlmap
sshfs
strace
tcpdump
telnet
terminator
thunderbird
traceroute
tree
unrar
unzip
usb_modeswitch
vagrant
viber
virtualbox
vlc
vpnc
wget
libnewt
whois
wireshark
wireshark-cli
xz
youtube-dl
zip
zsh
maven
etcher
gradle
skypeforlinux
vagrant
viber
p7zip
antibody
beautysh
bettercap
circleci
corgi
docker-compose
docker-squash
exa
fab
git-crypt
helm
k9s
lnav
mycli
node
npm
packer
perl-perl-tidy
pet-bin
restic
soapui
python-tabulate
terraform
textql
velero
youtube-dl
